"Results: (5,553)",<<  1  >>
A    B    C    D    E    F    G    H    I    J    K    L    M    N    O    P    Q    R    S    T    U    V    W    X    Y    Z
Pos,Box Art,Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
1,Boxart Missing,Pokemon,Series,Nintendo,Game Freak,N/A,N/A,N/A,464.84m,N/A,N/A,N/A,N/A,N/A,28th Sep 98,03rd Feb 20
2,Boxart Missing,Final Fantasy,Series,Square,Square,N/A,N/A,N/A,173.20m,N/A,N/A,N/A,N/A,N/A,18th Dec 87,28th Feb 20
3,Boxart Missing,Monster Hunter,Series,Capcom,Capcom,N/A,N/A,N/A,90.30m,N/A,N/A,N/A,N/A,N/A,21st Sep 04,03rd Feb 20
4,Boxart Missing,Dragon Quest,Series,Square,ArtePiazza,N/A,N/A,N/A,85.00m,N/A,N/A,N/A,N/A,N/A,27th May 86,27th Feb 20
5,Boxart Missing,Dragon Ball,Series,Bandai,Tose,N/A,N/A,N/A,65.85m,N/A,N/A,N/A,N/A,N/A,27th Sep 86,05th Mar 20
6,Boxart Missing,The Witcher,Series,CD Projekt,CD Projekt Red Studio,N/A,N/A,N/A,65.00m,N/A,N/A,N/A,N/A,N/A,30th Oct 07,13th Feb 20
7,Boxart Missing,The Elder Scrolls,Series,Bethesda Softworks,Bethesda Softworks,N/A,N/A,N/A,58.62m,N/A,N/A,N/A,N/A,N/A,25th Mar 94,04th Mar 20
8,Boxart Missing,Diablo,Series,Blizzard Entertainment,Blizzard North,N/A,N/A,N/A,55.00m,N/A,N/A,N/A,N/A,N/A,03rd Jan 97,18th Feb 20
9,Boxart Missing,Fallout,Series,Bethesda Softworks,Interplay Entertainment,N/A,N/A,N/A,46.43m,N/A,N/A,N/A,N/A,N/A,10th Oct 97,07th Mar 20
10,Boxart Missing,The Witcher 3: Wild Hunt,All,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,N/A,N/A,N/A,40.00m,N/A,N/A,N/A,N/A,N/A,18th May 15,29th Oct 20
11,Boxart Missing,Kingdom Hearts,Series,Square Enix,Square,N/A,N/A,N/A,36.00m,N/A,N/A,N/A,N/A,N/A,17th Sep 02,27th Feb 20
12,Boxart Missing,Souls,Series,Bandai Namco Entertainment,From Software,N/A,N/A,N/A,35.80m,N/A,N/A,N/A,N/A,N/A,06th Oct 09,17th Feb 20
13,Boxart Missing,Dark Souls,Series,Bandai Namco Entertainment,From Software,N/A,N/A,N/A,33.40m,N/A,N/A,N/A,N/A,N/A,04th Oct 11,22nd Oct 22
14,Boxart Missing,Pokémon Red / Green / Blue Version,GB,Nintendo,Game Freak,N/A,9.4,N/A,31.38m,N/A,N/A,N/A,N/A,N/A,30th Sep 98,N/A
15,Boxart Missing,Diablo III,All,Blizzard Entertainment,Blizzard Entertainment,N/A,N/A,N/A,30.00m,N/A,N/A,N/A,N/A,N/A,15th May 15,29th Oct 20
16,Boxart Missing,The Elder Scrolls V: Skyrim,All,Bethesda Softworks,Bethesda Game Studios,N/A,N/A,N/A,30.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 11,27th Oct 20
17,Boxart Missing,Tales of,Series,Namco,Bandai Namco Studios,N/A,N/A,N/A,27.75m,N/A,N/A,N/A,N/A,N/A,30th Sep 98,06th Feb 20
18,Boxart Missing,Pokémon Sword / Shield    Read the review,NS,Nintendo,Game Freak,7.0,N/A,N/A,25.68m,N/A,N/A,N/A,N/A,N/A,15th Nov 19,21st Nov 19
19,Boxart Missing,Pokémon Gold / Silver Version,GB,Nintendo,Game Freak,N/A,9.2,N/A,23.10m,N/A,N/A,N/A,N/A,N/A,14th Oct 00,N/A
20,Boxart Missing,Final Fantasy X/X-2,All,Square,Square,N/A,N/A,N/A,20.80m,N/A,N/A,N/A,N/A,N/A,17th Dec 01,19th Oct 20
21,Boxart Missing,Pokémon Scarlet / Violet    Read the review,NS,Nintendo,Game Freak,7.0,N/A,N/A,20.61m,N/A,N/A,N/A,N/A,N/A,18th Nov 22,31st May 22
22,Boxart Missing,Super Robot Wars,Series,Bandai,Banpresto,N/A,N/A,N/A,20.06m,N/A,N/A,N/A,N/A,N/A,20th Apr 91,19th Feb 20
23,Boxart Missing,Cyberpunk 2077,All,CD Projekt Red Studio,CD Projekt Red Studio,N/A,N/A,N/A,20.00m,N/A,N/A,N/A,N/A,N/A,10th Dec 20,02nd Oct 22
24,Boxart Missing,Fallout 4,All,Bethesda Softworks,Bethesda Game Studios,N/A,N/A,N/A,20.00m,N/A,N/A,N/A,N/A,N/A,10th Nov 15,30th Oct 20
25,Boxart Missing,Monster Hunter: World,All,Capcom,Capcom,N/A,N/A,N/A,20.00m,N/A,N/A,N/A,N/A,N/A,26th Jan 18,13th Oct 20
26,Boxart Missing,Pokémon Diamond / Pearl Version,DS,Nintendo,Game Freak,N/A,8.6,N/A,17.67m,N/A,N/A,N/A,N/A,N/A,28th Apr 07,N/A
27,Boxart Missing,Persona,Series,Atlus,Atlus,N/A,N/A,N/A,17.10m,N/A,N/A,N/A,N/A,N/A,01st Nov 96,03rd Feb 20
28,Boxart Missing,Pokemon Mystery Dungeon,Series,Nintendo,Chunsoft,N/A,N/A,N/A,16.86m,N/A,N/A,N/A,N/A,N/A,18th Sep 06,03rd Mar 20
29,Boxart Missing,Pokémon X/Y    Read the review,3DS,Nintendo,Game Freak,8.7,8.9,9.3,16.65m,N/A,N/A,N/A,N/A,N/A,12th Oct 13,06th Jan 18
30,Boxart Missing,Deus Ex,Series,Eidos Interactive,Ion Storm,N/A,N/A,N/A,16.40m,N/A,N/A,N/A,N/A,N/A,17th Jun 00,28th Feb 20
31,Boxart Missing,Pokémon Sun/Moon,3DS,Nintendo,Game Freak,N/A,9.0,N/A,16.29m,N/A,N/A,N/A,N/A,N/A,18th Nov 16,03rd Aug 18
32,Boxart Missing,Pokémon Ruby / Sapphire Version,GBA,Nintendo,Game Freak,N/A,8.8,N/A,16.22m,N/A,N/A,N/A,N/A,N/A,17th Mar 03,N/A
33,Boxart Missing,Mass Effect,Series,Electronic Arts,BioWare,N/A,N/A,N/A,16.00m,N/A,N/A,N/A,N/A,N/A,20th Nov 07,24th Feb 20
34,Boxart Missing,The Witcher 3: Wild Hunt,PC,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,N/A,N/A,N/A,15.90m,N/A,N/A,N/A,N/A,N/A,19th May 15,04th May 18
35,Boxart Missing,Pokémon Black / White Version    Read the review,DS,Nintendo,Game Freak,8.9,8.6,9.0,15.64m,N/A,N/A,N/A,N/A,N/A,06th Mar 11,N/A
36,Boxart Missing,"Pokémon: Let's Go, Pikachu/Eevee    Read the review",NS,Nintendo,Game Freak,8.0,N/A,N/A,15.07m,N/A,N/A,N/A,N/A,N/A,16th Nov 18,31st Jan 19
37,Boxart Missing,The Elder Scrolls Online,All,Bethesda Softworks,ZeniMax Online Studios,N/A,N/A,N/A,15.00m,N/A,N/A,N/A,N/A,N/A,04th Apr 14,27th Oct 20
38,Boxart Missing,Pokémon Brilliant Diamond / Shining Pearl    Read the review,NS,Nintendo,Game Freak,2.5,N/A,N/A,14.92m,N/A,N/A,N/A,N/A,N/A,19th Nov 21,26th Feb 21
39,Boxart Missing,Pokémon Yellow: Special Pikachu Edition,GB,Nintendo,Game Freak,N/A,8.7,N/A,14.64m,N/A,N/A,N/A,N/A,N/A,19th Oct 99,N/A
40,Boxart Missing,Pokémon Legends: Arceus    Read the review,NS,Nintendo,Game Freak,8.0,N/A,N/A,14.63m,N/A,N/A,N/A,N/A,N/A,28th Jan 22,26th Feb 21
41,Boxart Missing,Pokémon Omega Ruby/Pokémon Alpha Sapphire,3DS,Nintendo,Game Freak,N/A,N/A,N/A,14.53m,N/A,N/A,N/A,N/A,N/A,21st Nov 14,03rd Aug 18
42,Boxart Missing,Final Fantasy VII,All,Sony Computer Entertainment,Square,N/A,N/A,N/A,14.10m,N/A,N/A,N/A,N/A,N/A,07th Sep 97,09th Oct 20
43,Boxart Missing,Yo-kai Watch,Series,Nintendo,Level 5,N/A,N/A,N/A,14.00m,N/A,N/A,N/A,N/A,N/A,06th Nov 15,16th Feb 20
44,Boxart Missing,Paper Mario,Series,Nintendo,Intelligent Systems,N/A,N/A,N/A,13.33m,N/A,N/A,N/A,N/A,N/A,05th Feb 01,21st Feb 20
45,Boxart Missing,Pokémon Heart Gold / Soul Silver Version    Read the review,DS,Nintendo,Game Freak,8.5,8.6,N/A,12.72m,N/A,N/A,N/A,N/A,N/A,14th Mar 10,N/A
46,Boxart Missing,Fable,Series,Microsoft Game Studios,Big Blue Box,N/A,N/A,N/A,12.58m,N/A,N/A,N/A,N/A,N/A,14th Sep 04,25th Jul 20
47,Boxart Missing,The Witcher 3: Wild Hunt    Read the review,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,N/A,N/A,N/A,12.40m,N/A,N/A,N/A,N/A,N/A,19th May 15,04th May 18
48,Boxart Missing,Mario & Luigi,Series,Nintendo,AlphaDream,N/A,N/A,N/A,12.20m,N/A,N/A,N/A,N/A,N/A,17th Nov 03,21st Feb 20
49,Boxart Missing,7 Days to Die,All,The Fun Pimps,The Fun Pimps,N/A,N/A,N/A,12.00m,N/A,N/A,N/A,N/A,N/A,13th Dec 13,15th Aug 21
50,Boxart Missing,Diablo III    Read the review,PC,Blizzard Entertainment,Blizzard Entertainment,8.4,9.0,N/A,12.00m,N/A,N/A,N/A,N/A,N/A,15th May 12,03rd Jan 18
51,Boxart Missing,Hogwarts Legacy,All,Warner Bros. Interactive Entertainment,Avalanche Software,N/A,N/A,N/A,12.00m,N/A,N/A,N/A,N/A,N/A,10th Feb 23,23rd Feb 23
52,Boxart Missing,Pokémon FireRed / LeafGreen Version,GBA,Nintendo,Game Freak,N/A,8.3,N/A,12.00m,N/A,N/A,N/A,N/A,N/A,07th Sep 04,N/A
53,Boxart Missing,Dragon Age,Series,Electronic Arts,BioWare,N/A,N/A,N/A,11.20m,N/A,N/A,N/A,N/A,N/A,03rd Nov 09,31st Dec 20
54,Boxart Missing,SaGa,Series,Square Enix,Square,N/A,N/A,N/A,10.10m,N/A,N/A,N/A,N/A,N/A,30th Sep 90,29th Feb 20
55,Boxart Missing,Dark Souls III,All,Bandai Namco Entertainment,From Software,N/A,N/A,N/A,10.00m,N/A,N/A,N/A,N/A,N/A,12th Apr 16,08th Nov 20
56,Boxart Missing,Final Fantasy XV,All,Square Enix,Square Enix,N/A,N/A,N/A,10.00m,N/A,N/A,N/A,N/A,N/A,29th Nov 16,19th Oct 20
57,Boxart Missing,Monster Hunter World: Iceborne,All,Capcom,Capcom,N/A,N/A,N/A,10.00m,N/A,N/A,N/A,N/A,N/A,06th Sep 19,13th Oct 20
58,Boxart Missing,Final Fantasy VII,PS,Sony Computer Entertainment,SquareSoft,N/A,9.6,9.5,9.90m,N/A,N/A,N/A,N/A,N/A,03rd Sep 97,23rd Mar 19
59,Boxart Missing,Final Fantasy VIII,All,Square,Square,N/A,N/A,N/A,9.60m,N/A,N/A,N/A,N/A,N/A,09th Sep 99,19th Oct 20
60,Boxart Missing,Pokémon: Ultra Sun and Ultra Moon,3DS,Nintendo,Game Freak,N/A,8.1,N/A,9.12m,N/A,N/A,N/A,N/A,N/A,17th Nov 17,03rd Aug 18
61,Boxart Missing,The Elder Scrolls V: Skyrim,X360,Bethesda Softworks,Bethesda Game Studios,N/A,9.3,N/A,N/A,8.88m,5.10m,2.83m,0.10m,0.85m,11th Nov 11,01st Apr 18
62,Boxart Missing,Xeno,Series,Square,Square,N/A,N/A,N/A,8.85m,N/A,N/A,N/A,N/A,N/A,20th Oct 98,14th Mar 20
63,Boxart Missing,Megami Tensei,Series,Atlus,Atlus,N/A,N/A,N/A,8.80m,N/A,N/A,N/A,N/A,N/A,12th Oct 04,07th Feb 20
64,Boxart Missing,Monster Hunter Generations,All,Capcom,Capcom,N/A,N/A,N/A,8.80m,N/A,N/A,N/A,N/A,N/A,15th Jul 16,13th Oct 20
65,Boxart Missing,Final Fantasy VIII,PS,Square EA,SquareSoft,N/A,9.4,N/A,8.60m,N/A,N/A,N/A,N/A,N/A,07th Sep 99,N/A
66,Boxart Missing,Final Fantasy X,PS2,Square,SquareSoft,N/A,9.0,10.0,8.60m,N/A,N/A,N/A,N/A,N/A,17th Dec 01,N/A
67,Boxart Missing,Pokémon Black 2 and White 2    Read the review,DS,Nintendo,Game Freak,8.9,8.0,8.3,8.52m,N/A,N/A,N/A,N/A,N/A,07th Oct 12,25th Feb 18
68,Boxart Missing,Fallout 4,PS4,Bethesda Softworks,Bethesda Game Studios,N/A,8.6,N/A,N/A,8.48m,2.91m,3.97m,0.27m,1.34m,10th Nov 15,24th Mar 18
69,Boxart Missing,Monster Hunter 4,All,Capcom,Capcom,N/A,N/A,N/A,8.30m,N/A,N/A,N/A,N/A,N/A,13th Feb 15,13th Oct 20
70,Boxart Missing,Dragon Ball Xenoverse 2,All,Bandai Namco Entertainment,Dimps Corporation,N/A,N/A,N/A,8.00m,N/A,N/A,N/A,N/A,N/A,25th Oct 16,27th Oct 20
71,Boxart Missing,Inazuma Eleven,Series,Level 5,Level 5,N/A,N/A,N/A,8.00m,N/A,N/A,N/A,N/A,N/A,22nd Aug 08,17th Feb 20
72,Boxart Missing,Final Fantasy XII,All,Square Enix,Square Enix,N/A,N/A,N/A,7.71m,N/A,N/A,N/A,N/A,N/A,31st Oct 06,19th Oct 20
73,Boxart Missing,Final Fantasy XIII,All,Square Enix,Square Enix,N/A,N/A,N/A,7.71m,N/A,N/A,N/A,N/A,N/A,09th Mar 10,19th Oct 20
74,Boxart Missing,Pokémon Platinum Version,DS,Nintendo,Game Freak,N/A,8.3,8.9,7.60m,N/A,N/A,N/A,N/A,N/A,22nd Mar 09,N/A
75,Boxart Missing,NieR: Automata,All,Square Enix,PlatinumGames,N/A,N/A,N/A,7.50m,N/A,N/A,N/A,N/A,N/A,07th Mar 17,24th Dec 20
76,Boxart Missing,Baldur's Gate,Series,Interplay Entertainment Corp.,BioWare,N/A,N/A,N/A,7.47m,N/A,N/A,N/A,N/A,N/A,31st Jul 00,13th Feb 20
77,Boxart Missing,Yokai Watch 2: Bony Spirits / Fleshy Souls / Psychic Specters,3DS,Nintendo,Level 5,N/A,N/A,N/A,7.30m,N/A,N/A,N/A,N/A,N/A,30th Sep 16,26th Jan 19
78,Boxart Missing,Dragon's Dogma,Series,Capcom,Capcom,N/A,N/A,N/A,7.20m,N/A,N/A,N/A,N/A,N/A,22nd May 12,04th Feb 20
79,Boxart Missing,Pokémon Emerald Version,GBA,Nintendo,Game Freak,N/A,7.7,N/A,7.06m,N/A,N/A,N/A,N/A,N/A,30th Apr 05,N/A
80,Boxart Missing,Grim Dawn,All,Crate Entertainment,Crate Entertainment,N/A,N/A,N/A,7.00m,N/A,N/A,N/A,N/A,N/A,25th Feb 16,28th Feb 22
81,Boxart Missing,Guild Wars 2    Read the review,PC,NCSoft,ArenaNet,9.5,N/A,N/A,7.00m,N/A,N/A,N/A,N/A,N/A,28th Aug 12,N/A
82,Boxart Missing,Mana,Series,Square,Square,N/A,N/A,N/A,7.00m,N/A,N/A,N/A,N/A,N/A,01st Nov 91,13th Feb 20
83,Boxart Missing,Nioh,Series,Koei Tecmo,Team Ninja,N/A,N/A,N/A,7.00m,N/A,N/A,N/A,N/A,N/A,07th Feb 17,08th Feb 20
84,Boxart Missing,The Legend of Heroes: Trails,Series,Xseed Games,Falcom,N/A,N/A,N/A,7.00m,N/A,N/A,N/A,N/A,N/A,29th Mar 11,06th Feb 20
85,Boxart Missing,Persona 5,All,Atlus,Atlus,N/A,N/A,N/A,6.80m,N/A,N/A,N/A,N/A,N/A,04th Apr 17,06th Dec 20
86,Boxart Missing,Star Wars: Knights of the Old Republic,Series,LucasArts,BioWare,N/A,N/A,N/A,6.73m,N/A,N/A,N/A,N/A,N/A,15th Jul 03,01st Mar 20
87,Boxart Missing,Kingdom Hearts III,All,Square Enix,Square Enix,N/A,N/A,N/A,6.70m,N/A,N/A,N/A,N/A,N/A,29th Jan 19,08th Nov 20
88,Boxart Missing,Fallout 4,PC,Bethesda Softworks,Bethesda Game Studios,N/A,9.0,N/A,6.60m,N/A,N/A,N/A,N/A,N/A,10th Nov 15,24th Mar 18
89,Boxart Missing,Dragon Quest XI,All,Square Enix,Square Enix,N/A,N/A,N/A,6.50m,N/A,N/A,N/A,N/A,N/A,04th Sep 18,23rd Oct 20
90,Boxart Missing,Guild Wars,PC,NCSoft,ArenaNet,N/A,8.7,N/A,6.50m,N/A,N/A,N/A,N/A,N/A,26th Apr 05,N/A
91,Boxart Missing,The Elder Scrolls V: Skyrim,PS3,Bethesda Softworks,Bethesda Game Studios,N/A,9.0,N/A,N/A,6.49m,2.57m,2.68m,0.25m,0.99m,11th Nov 11,01st Apr 18
92,Boxart Missing,Final Fantasy XII,PS2,Square Enix,Square Enix,N/A,9.4,9.5,6.40m,N/A,N/A,N/A,N/A,N/A,31st Oct 06,N/A
93,Boxart Missing,Pokémon Crystal Version,GBC,Nintendo,Game Freak,N/A,8.7,N/A,6.39m,N/A,N/A,N/A,N/A,N/A,29th Jul 01,06th Jan 18
94,Boxart Missing,Kingdom Hearts,PS2,Square EA,SquareSoft,N/A,8.5,N/A,6.30m,N/A,N/A,N/A,N/A,N/A,16th Sep 02,N/A
95,Boxart Missing,Dragon Age: Inquisition,All,Electronic Arts,BioWare,N/A,N/A,N/A,6.00m,N/A,N/A,N/A,N/A,N/A,18th Nov 14,31st Dec 20
96,Boxart Missing,Mass Effect 3,All,Electronic Arts,BioWare,N/A,N/A,N/A,6.00m,N/A,N/A,N/A,N/A,N/A,06th Mar 12,05th Dec 20
97,Boxart Missing,Atelier,Series,Koei Tecmo,Gust,N/A,N/A,N/A,5.98m,N/A,N/A,N/A,N/A,N/A,28th Jun 05,12th Dec 20
98,Boxart Missing,Final Fantasy IX,All,Square,Square,N/A,N/A,N/A,5.83m,N/A,N/A,N/A,N/A,N/A,13th Nov 00,19th Oct 20
